"","agency_cd","site_no","sample_dt","sample_tm","sample_end_dt","sample_end_tm","sample_start_time_datum_cd_reported","tm_datum_rlbty_cd","coll_ent_cd","medium_cd","project_cd","aqfr_cd","tu_id","body_part_id","hyd_cond_cd","samp_type_cd","hyd_event_cd","sample_lab_cm_tx","parm_cd","remark_cd","result_va","val_qual_tx","meth_cd","dqi_cd","rpt_lev_va","rpt_lev_cd","lab_std_va","prep_set_no","prep_dt","anl_set_no","anl_dt","result_lab_cm_tx","anl_ent_cd","startDateTime","sample_start_time_datum_cd"
"56","USGS","01189000",2016-07-08,"08:00",NA,NA,"EST","K","USGS-WRD","WS","30G1EQW00",NA,NA,NA,"5","7","9",NA,"00608",NA,0.04,NA,"SHC02","S",0.01,"DLDQC",NA,NA,NA,"KONE16196A",20160714,NA,"USGSNWQL",2016-07-08 13:00:00,"UTC"
"57","USGS","01189000",2016-07-08,"08:00",NA,NA,"EST","K","USGS-WRD","WS","30G1EQW00",NA,NA,NA,"5","7","9",NA,"00613",NA,0.01,NA,"DZ001","S",0.001,"DLDQC",NA,NA,NA,"KONE16196A",20160714,NA,"USGSNWQL",2016-07-08 13:00:00,"UTC"
"58","USGS","01189000",2016-07-08,"08:00",NA,NA,"EST","K","USGS-WRD","WS","30G1EQW00",NA,NA,NA,"5","7","9",NA,"00618",NA,1.81,NA,"ALGOR","S",NA,NA,NA,NA,NA,NA,NA,NA,NA,2016-07-08 13:00:00,"UTC"
"59","USGS","01189000",2016-07-08,"08:00",NA,NA,"EST","K","USGS-WRD","WS","30G1EQW00",NA,NA,NA,"5","7","9",NA,"00631",NA,1.82,NA,"RED01","S",0.04,"DLDQC",NA,NA,NA,"KNO316201A",20160719,NA,"USGSNWQL",2016-07-08 13:00:00,"UTC"
"60","USGS","01189000",2016-07-08,"08:00",NA,NA,"EST","K","USGS-WRD","WS","30G1EQW00",NA,NA,NA,"5","7","9",NA,"00660",NA,1.88,NA,"ALGOR","S",NA,NA,NA,NA,NA,NA,NA,NA,NA,2016-07-08 13:00:00,"UTC"
"61","USGS","01189000",2016-07-08,"08:00",NA,NA,"EST","K","USGS-WRD","WS","30G1EQW00",NA,NA,NA,"5","7","9",NA,"00665",NA,0.726,"d","CL021","S",0.004,"DLDQC",NA,NA,NA,"PELW207A",20160726,NA,"USGSNWQL",2016-07-08 13:00:00,"UTC"
"62","USGS","01189000",2016-07-08,"08:00",NA,NA,"EST","K","USGS-WRD","WS","30G1EQW00",NA,NA,NA,"5","7","9",NA,"00671",NA,0.614,"d","PHM01","S",0.004,"DLDQC",NA,NA,NA,"KONE16196A",20160714,NA,"USGSNWQL",2016-07-08 13:00:00,"UTC"
"63","USGS","01189000",2016-07-08,"08:00",NA,NA,"EST","K","USGS-WRD","WS","30G1EQW00",NA,NA,NA,"5","7","9",NA,"62855",NA,2.5,NA,"AKP01","S",0.05,"DLDQC",NA,NA,NA,"PTNP200A",20160719,NA,"USGSNWQL",2016-07-08 13:00:00,"UTC"
"64","USGS","01189000",2016-07-15,"08:30",NA,NA,"EST","K","USGS-WRD","WS","30G1EQW00",NA,NA,NA,"4","9","9",NA,"00605",NA,0.52,NA,"ALGOR","S",NA,NA,NA,NA,NA,NA,NA,NA,NA,2016-07-15 13:30:00,"UTC"
"65","USGS","01189000",2016-07-15,"08:30",NA,NA,"EST","K","USGS-WRD","WS","30G1EQW00",NA,NA,NA,"4","9","9",NA,"00608",NA,0.04,NA,"SHC02","S",0.01,"DLDQC",NA,NA,NA,"KONE16208A",20160726,NA,"USGSNWQL",2016-07-15 13:30:00,"UTC"
"66","USGS","01189000",2016-07-15,"08:30",NA,NA,"EST","K","USGS-WRD","WS","30G1EQW00",NA,NA,NA,"4","9","9",NA,"00613",NA,0.02,NA,"DZ001","S",0.001,"DLDQC",NA,NA,NA,"KONE16208A",20160726,NA,"USGSNWQL",2016-07-15 13:30:00,"UTC"
"67","USGS","01189000",2016-07-15,"08:30",NA,NA,"EST","K","USGS-WRD","WS","30G1EQW00",NA,NA,NA,"4","9","9",NA,"00618",NA,3.28,NA,"ALGOR","S",NA,NA,NA,NA,NA,NA,NA,NA,NA,2016-07-15 13:30:00,"UTC"
"68","USGS","01189000",2016-07-15,"08:30",NA,NA,"EST","K","USGS-WRD","WS","30G1EQW00",NA,NA,NA,"4","9","9",NA,"00631",NA,3.3,NA,"RED01","S",0.04,"DLDQC",NA,NA,NA,"KNO316208A",20160726,NA,"USGSNWQL",2016-07-15 13:30:00,"UTC"
"69","USGS","01189000",2016-07-15,"08:30",NA,NA,"EST","K","USGS-WRD","WS","30G1EQW00",NA,NA,NA,"4","9","9",NA,"00660",NA,3.26,NA,"ALGOR","S",NA,NA,NA,NA,NA,NA,NA,NA,NA,2016-07-15 13:30:00,"UTC"
"70","USGS","01189000",2016-07-15,"08:30",NA,NA,"EST","K","USGS-WRD","WS","30G1EQW00",NA,NA,NA,"4","9","9",NA,"00665",NA,1.19,"d","CL021","S",0.004,"DLDQC",NA,NA,NA,"PELW214A",20160802,NA,"USGSNWQL",2016-07-15 13:30:00,"UTC"
"71","USGS","01189000",2016-07-15,"08:30",NA,NA,"EST","K","USGS-WRD","WS","30G1EQW00",NA,NA,NA,"4","9","9",NA,"00671",NA,1.06,"d","PHM01","S",0.004,"DLDQC",NA,NA,NA,"KONE16208A",20160726,NA,"USGSNWQL",2016-07-15 13:30:00,"UTC"
"72","USGS","01189000",2016-07-15,"08:30",NA,NA,"EST","K","USGS-WRD","WS","30G1EQW00",NA,NA,NA,"4","9","9",NA,"62855",NA,3.85,NA,"AKP01","S",0.05,"DLDQC",NA,NA,NA,"PTNP211A",20160729,NA,"USGSNWQL",2016-07-15 13:30:00,"UTC"
"73","USGS","01189000",2016-07-21,"12:20",NA,NA,"EST","K","USGS-WRD","WS","30G1EQW00",NA,NA,NA,"4","9","9",NA,"00605",NA,0.45,NA,"ALGOR","S",NA,NA,NA,NA,NA,NA,NA,NA,NA,2016-07-21 17:20:00,"UTC"
"74","USGS","01189000",2016-07-21,"12:20",NA,NA,"EST","K","USGS-WRD","WS","30G1EQW00",NA,NA,NA,"4","9","9",NA,"00608",NA,0.03,NA,"SHC02","S",0.01,"DLDQC",NA,NA,NA,"KONE16214A",20160802,NA,"USGSNWQL",2016-07-21 17:20:00,"UTC"
"75","USGS","01189000",2016-07-21,"12:20",NA,NA,"EST","K","USGS-WRD","WS","30G1EQW00",NA,NA,NA,"4","9","9",NA,"00613",NA,0.013,NA,"DZ001","S",0.001,"DLDQC",NA,NA,NA,"KONE16214A",20160802,NA,"USGSNWQL",2016-07-21 17:20:00,"UTC"
"76","USGS","01189000",2016-07-21,"12:20",NA,NA,"EST","K","USGS-WRD","WS","30G1EQW00",NA,NA,NA,"4","9","9",NA,"00618",NA,3.97,NA,"ALGOR","S",NA,NA,NA,NA,NA,NA,NA,NA,NA,2016-07-21 17:20:00,"UTC"
"77","USGS","01189000",2016-07-21,"12:20",NA,NA,"EST","K","USGS-WRD","WS","30G1EQW00",NA,NA,NA,"4","9","9",NA,"00631",NA,3.99,NA,"RED01","S",0.04,"DLDQC",NA,NA,NA,"KNO316217A",20160804,NA,"USGSNWQL",2016-07-21 17:20:00,"UTC"
"78","USGS","01189000",2016-07-21,"12:20",NA,NA,"EST","K","USGS-WRD","WS","30G1EQW00",NA,NA,NA,"4","9","9",NA,"00660",NA,4.79,NA,"ALGOR","S",NA,NA,NA,NA,NA,NA,NA,NA,NA,2016-07-21 17:20:00,"UTC"
"79","USGS","01189000",2016-07-21,"12:20",NA,NA,"EST","K","USGS-WRD","WS","30G1EQW00",NA,NA,NA,"4","9","9",NA,"00665",NA,1.61,"d","CL021","S",0.004,"DLDQC",NA,NA,NA,"PELW223B",20160811,NA,"USGSNWQL",2016-07-21 17:20:00,"UTC"
"80","USGS","01189000",2016-07-21,"12:20",NA,NA,"EST","K","USGS-WRD","WS","30G1EQW00",NA,NA,NA,"4","9","9",NA,"00671",NA,1.56,"d","PHM01","S",0.004,"DLDQC",NA,NA,NA,"KONE16214A",20160802,NA,"USGSNWQL",2016-07-21 17:20:00,"UTC"
"81","USGS","01189000",2016-07-21,"12:20",NA,NA,"EST","K","USGS-WRD","WS","30G1EQW00",NA,NA,NA,"4","9","9",NA,"62855",NA,4.46,NA,"AKP01","S",0.05,"DLDQC",NA,NA,NA,"PTNP216A",20160804,NA,"USGSNWQL",2016-07-21 17:20:00,"UTC"
"82","USGS","01189000",2016-07-28,"12:40",NA,NA,"EST","K","USGS-WRD","WS","30G1EQW00",NA,NA,NA,"4","9","9",NA,"00605",NA,0.83,NA,"ALGOR","S",NA,NA,NA,NA,NA,NA,NA,NA,NA,2016-07-28 17:40:00,"UTC"
